OCC,fixture,fixture_count,range_lower,range_top
A-1,wcm,1,1,100
A-1,wcm,2,101,200
A-1,wcm,3,201,400
A-1,wcm,1999,400,500
A-1,wcf,1,1,25
A-1,wcf,2,26,50
A-1,wcf,3,51,100
A-1,wcf,4,101,200
A-1,wcf,6,201,300
A-1,wcf,8,301,400
A-1,wcf,1999,400,125
A-1,ur,1,1,200
A-1,ur,2,201,300
A-1,ur,3,301,400
A-1,ur,4,401,600
A-1,ur,1999,600,300
A-1,lvm,1,1,200
A-1,lvm,2,201,400
A-1,lvm,3,401,600
A-1,lvm,4,601,750
A-1,lvm,1999,750,250
A-1,lvf,1,1,100
A-1,lvf,2,101,200
A-1,lvf,4,201,300
A-1,lvf,5,301,500
A-1,lvf,6,501,750
A-1,lvf,1999,750,200
A-1,df,1,1,250
A-1,df,2,251,500
A-1,df,3,501,750
A-1,df,1999,750,500
A-2,wcm,1,1,50
A-2,wcm,2,51,150
A-2,wcm,3,151,300
A-2,wcm,4,301,400
A-2,wcm,1999,400,250
A-2,wcf,1,1,25
A-2,wcf,2,26,50
A-2,wcf,3,51,100
A-2,wcf,4,101,200
A-2,wcf,6,201,300
A-2,wcf,8,301,400
A-2,wcf,1999,400,125
A-2,ur,1,1,200
A-2,ur,2,201,300
A-2,ur,3,301,400
A-2,ur,4,401,600
A-2,ur,1999,600,300
A-2,lvm,1,1,150
A-2,lvm,2,151,200
A-2,lvm,3,201,400
A-2,lvm,1999,400,250
A-2,lvf,1,1,150
A-2,lvf,2,151,200
A-2,lvf,4,201,400
A-2,lvf,1999,400,200
A-2,df,1,1,250
A-2,df,2,251,500
A-2,df,3,501,750
A-2,df,1999,750,500
A-3,wcm,1,1,100
A-3,wcm,2,101,200
A-3,wcm,3,201,400
A-3,wcm,1999,400,500
A-3,wcf,1,1,25
A-3,wcf,2,26,50
A-3,wcf,3,51,100
A-3,wcf,4,101,200
A-3,wcf,6,201,300
A-3,wcf,8,301,400
A-3,wcf,1999,400,125
A-3,ur,1,1,100
A-3,ur,2,101,200
A-3,ur,3,201,400
A-3,ur,4,401,600
A-3,ur,1999,600,300
A-3,lvm,1,1,200
A-3,lvm,2,201,400
A-3,lvm,3,401,600
A-3,lvm,4,601,750
A-3,lvm,1999,750,250
A-3,lvf,1,1,100
A-3,lvf,2,101,200
A-3,lvf,4,201,300
A-3,lvf,5,301,500
A-3,lvf,6,501,750
A-3,lvf,1999,750,200
A-3,df,1,1,250
A-3,df,2,251,500
A-3,df,3,501,750
A-3,df,1999,750,500
A-4,wcm,1,1,100
A-4,wcm,2,101,200
A-4,wcm,3,201,400
A-4,wcm,1999,400,500
A-4,wcf,1,1,25
A-4,wcf,2,26,50
A-4,wcf,3,51,100
A-4,wcf,4,101,200
A-4,wcf,6,201,300
A-4,wcf,8,301,400
A-4,wcf,1999,400,125
A-4,ur,1,1,100
A-4,ur,2,101,200
A-4,ur,3,201,400
A-4,ur,4,401,600
A-4,ur,1999,600,300
A-4,lvm,1,1,200
A-4,lvm,2,201,400
A-4,lvm,3,401,750
A-4,lvm,1999,750,250
A-4,lvf,1,1,100
A-4,lvf,2,101,200
A-4,lvf,4,201,300
A-4,lvf,5,301,500
A-4,lvf,6,501,750
A-4,lvf,1999,750,200
A-4,df,1,1,250
A-4,df,2,251,500
A-4,df,3,501,750
A-4,df,1999,750,500
A-5,wcm,1,1,100
A-5,wcm,2,101,200
A-5,wcm,3,201,400
A-5,wcm,1999,400,500
A-5,wcf,1,1,25
A-5,wcf,2,26,50
A-5,wcf,3,51,100
A-5,wcf,4,101,200
A-5,wcf,6,201,300
A-5,wcf,8,301,400
A-5,wcf,1999,400,125
A-5,ur,1,1,100
A-5,ur,2,101,200
A-5,ur,3,201,400
A-5,ur,4,401,600
A-5,ur,1999,600,300
A-5,lvm,1,1,200
A-5,lvm,2,201,400
A-5,lvm,3,401,750
A-5,lvm,1999,750,250
A-5,lvf,1,1,100
A-5,lvf,2,101,200
A-5,lvf,4,201,300
A-5,lvf,5,301,500
A-5,lvf,6,501,750
A-5,lvf,1999,750,200
A-5,df,1,1,250
A-5,df,2,251,500
A-5,df,3,501,750
A-5,df,1999,750,500
B,wcm,1,1,50
B,wcm,2,51,100
B,wcm,3,101,200
B,wcm,4,201,400
B,wcm,1999,400,500
B,wcf,1,1,15
B,wcf,2,16,30
B,wcf,3,31,50
B,wcf,4,51,100
B,wcf,8,101,200
B,wcf,11,201,400
B,wcf,1999,400,150
B,ur,1,1,100
B,ur,2,101,200
B,ur,3,201,400
B,ur,4,401,600
B,ur,1999,600,300
B,lvm,1,1,75
B,lvm,2,76,150
B,lvm,3,151,200
B,lvm,4,201,300
B,lvm,5,301,400
B,lvm,1999,400,250
B,lvf,1,1,50
B,lvf,2,51,100
B,lvf,3,101,150
B,lvf,4,151,200
B,lvf,5,201,300
B,lvf,6,301,400
B,lvf,1999,400,200
B,df,1,1,150
E,wcm,1,1,50
E,wcf,1,1,30
E,ur,1,1,100
E,lvm,1,1,40
E,lvf,1,1,40
E,df,1,1,150
F1,wcm,1,1,50
F1,wcm,2,51,75
F1,wcm,3,76,100
F1,wcm,1999,100,40
F1,wcf,1,1,50
F1,wcf,2,51,75
F1,wcf,3,76,100
F1,wcf,1999,100,40
F1,lvm,1,1,50
F1,lvm,2,51,75
F1,lvm,3,76,100
F1,lvm,1999,100,40
F1,lvf,1,1,50
F1,lvf,2,51,75
F1,lvf,3,76,100
F1,lvf,1999,100,40
F1,df,1,1,250
F1,df,2,251,500
F1,df,3,501,750
F1,df,1999,750,500
F2,wcm,1,1,50
F2,wcm,2,51,75
F2,wcm,3,76,100
F2,wcm,1999,100,40
F2,wcf,1,1,50
F2,wcf,2,51,75
F2,wcf,3,76,100
F2,wcf,1999,100,40
F2,lvm,1,1,50
F2,lvm,2,51,75
F2,lvm,3,76,100
F2,lvm,1999,100,40
F2,lvf,1,1,50
F2,lvf,2,51,75
F2,lvf,3,76,100
F2,lvf,1999,100,40
F2,df,1,1,250
F2,df,2,251,500
F2,df,3,501,750
F2,df,1999,750,500
M,wcm,1,1,100
M,wcm,2,101,200
M,wcm,3,201,400
M,wcm,1999,400,500
M,wcf,1,1,100
M,wcf,2,101,200
M,wcf,4,201,300
M,wcf,6,301,400
M,wcf,1999,400,200
M,ur,0,1,200
M,ur,1,201,400
M,ur,1999,400,500
M,lvm,1,1,200
M,lvm,2,201,400
M,lvm,1999,400,500
M,lvf,1,1,200
M,lvf,2,201,300
M,lvf,3,301,400
M,lvf,1999,400,400
M,df,1,1,250
M,df,2,251,500
M,df,3,501,750
M,df,1999,750,500
S-1,wcm,1,1,100
S-1,wcm,2,101,200
S-1,wcm,3,201,400
S-1,wcm,1999,400,500
S-1,wcf,1,1,100
S-1,wcf,2,101,200
S-1,wcf,3,201,400
S-1,wcf,1999,400,150
S-1,lvm,1,1,200
S-1,lvm,2,201,400
S-1,lvm,3,401,750
S-1,lvm,1999,750,500
S-1,lvf,1,1,200
S-1,lvf,2,201,400
S-1,lvf,3,401,750
S-1,lvf,1999,750,500
S-1,df,1,1,250
S-1,df,2,251,500
S-1,df,3,501,750
S-1,df,1999,750,500
S-2,wcm,1,1,100
S-2,wcm,2,101,200
S-2,wcm,3,201,400
S-2,wcm,1999,400,500
S-2,wcf,1,1,100
S-2,wcf,2,101,200
S-2,wcf,3,201,400
S-2,wcf,1999,400,150
S-2,lvm,1,1,200
S-2,lvm,2,201,400
S-2,lvm,3,401,750
S-2,lvm,1999,750,500
S-2,lvf,1,1,200
S-2,lvf,2,201,400
S-2,lvf,3,401,750
S-2,lvf,1999,750,500
S-2,df,1,1,250
S-2,df,2,251,500
S-2,df,3,501,750
S-2,df,1999,750,500